               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12539,            0.037103,            0.058593,          0.00045504,            0.062222,          0.00051735,          0.00025882,             0.12064,            0.036062,            0.057237,              0.0937,              0.0007,              0.0007
                   1,             0.11855,             0.03858,            0.056322,          0.00030932,            0.055556,          0.00039582,          0.00020073,             0.11058,            0.038035,            0.055169,             0.08647,           0.0014703,           0.0014703
                   2,              0.1102,            0.040326,            0.054828,          0.00060604,            0.065783,          0.00062906,          0.00022504,             0.10498,            0.039313,            0.053305,            0.079209,           0.0022089,           0.0022089
                   3,             0.10493,             0.04358,            0.052082,           0.0012102,             0.16194,           0.0014796,          0.00047767,            0.097679,             0.04154,            0.050916,            0.071916,           0.0029159,           0.0029159
                   4,             0.09943,            0.041668,            0.049112,           0.0020433,               0.261,           0.0049663,           0.0014908,            0.091684,            0.043371,             0.04776,            0.064591,           0.0035911,           0.0035911
                   5,            0.094804,            0.048909,            0.045925,           0.0018766,             0.25484,           0.0077366,           0.0021982,            0.086666,            0.044454,            0.044417,            0.057235,           0.0042347,           0.0042347
                   6,            0.087136,            0.044923,            0.043025,           0.0035159,              0.3884,           0.0089473,           0.0026311,            0.084886,            0.044582,            0.041738,            0.049847,           0.0048466,           0.0048466
                   7,            0.087532,             0.04722,            0.039662,              0.1737,             0.32211,            0.023205,           0.0059343,            0.080088,            0.045379,            0.039063,            0.042427,           0.0054268,           0.0054268
                   8,            0.081795,            0.044985,            0.039159,             0.53467,            0.015926,            0.024403,           0.0083478,            0.079108,            0.045065,             0.03654,            0.034975,           0.0059754,           0.0059754
                   9,            0.080691,            0.045004,            0.035577,             0.43069,             0.06416,             0.07884,              0.0191,            0.077137,             0.04516,            0.034523,            0.027492,           0.0064922,           0.0064922
                  10,             0.07914,            0.045414,            0.033213,              0.2014,             0.11453,            0.046041,            0.018212,            0.082197,            0.041718,            0.031409,            0.019977,           0.0069774,           0.0069774
                  11,            0.080486,            0.043463,            0.030765,             0.56459,             0.12328,             0.07379,            0.022254,            0.080494,            0.039933,            0.029728,            0.012431,           0.0074309,           0.0074309
                  12,            0.079309,            0.039949,            0.030278,             0.60698,             0.11661,              0.1186,            0.039488,             0.07534,            0.038876,            0.028328,            0.007624,            0.007624,            0.007624
                  13,            0.076592,            0.039844,            0.027988,             0.42955,             0.18375,            0.090229,            0.021858,            0.079014,             0.03664,             0.02761,            0.007624,            0.007624,            0.007624
                  14,            0.076008,            0.039439,             0.02589,              0.4124,             0.21521,             0.11083,            0.032212,            0.074521,            0.035602,            0.026525,            0.007426,            0.007426,            0.007426
                  15,            0.075573,             0.04105,            0.024821,             0.28064,             0.23632,             0.13526,            0.043791,            0.075593,            0.034584,            0.025866,            0.007228,            0.007228,            0.007228
                  16,            0.072773,              0.0329,            0.023275,             0.38258,             0.27892,             0.22264,            0.072126,             0.06999,            0.034709,            0.024864,             0.00703,             0.00703,             0.00703
                  17,            0.068376,            0.033696,            0.022037,             0.55119,             0.27729,             0.23487,            0.093599,              0.0693,            0.033121,            0.024005,            0.006832,            0.006832,            0.006832
                  18,            0.067398,            0.032478,            0.021256,             0.49772,             0.21721,             0.21243,            0.066089,             0.06909,            0.033695,            0.022952,            0.006634,            0.006634,            0.006634
                  19,            0.066716,            0.034825,            0.021276,             0.50325,             0.27682,             0.20034,            0.060525,            0.069233,            0.034108,            0.022364,            0.006436,            0.006436,            0.006436
                  20,            0.065981,            0.033767,            0.019723,             0.52704,             0.31174,             0.21042,            0.075461,            0.066304,            0.035232,            0.022188,            0.006238,            0.006238,            0.006238
                  21,            0.065599,            0.032248,            0.020004,             0.53184,             0.25272,               0.265,            0.086437,            0.062558,            0.033593,            0.021963,             0.00604,             0.00604,             0.00604
                  22,            0.062174,            0.031639,            0.018124,             0.46457,             0.36639,             0.31883,            0.099039,            0.060991,            0.031843,            0.021814,            0.005842,            0.005842,            0.005842
                  23,            0.061123,            0.030836,            0.018169,              0.4862,             0.39202,             0.34402,              0.1143,            0.059144,             0.03122,            0.021292,            0.005644,            0.005644,            0.005644
                  24,            0.060289,            0.029199,            0.018482,             0.50342,             0.39396,             0.36605,             0.12572,             0.05722,            0.030464,            0.021076,            0.005446,            0.005446,            0.005446
                  25,             0.05843,            0.027583,            0.017353,             0.65558,             0.31892,             0.36063,             0.13353,            0.057183,            0.030103,            0.020919,            0.005248,            0.005248,            0.005248
                  26,            0.056356,            0.030136,            0.016451,             0.53761,             0.40186,             0.35527,             0.11079,            0.057726,            0.030051,            0.020865,             0.00505,             0.00505,             0.00505
                  27,            0.057509,            0.027988,            0.015512,             0.62101,             0.37803,              0.4025,             0.13906,            0.055063,            0.030818,            0.021122,            0.004852,            0.004852,            0.004852
                  28,            0.056959,            0.033508,            0.015527,             0.68813,              0.3882,             0.42148,             0.16349,            0.052005,            0.033231,            0.020713,            0.004654,            0.004654,            0.004654
                  29,            0.055731,            0.030696,            0.015895,             0.59831,             0.45163,             0.45272,             0.18383,            0.053236,            0.031522,            0.020405,            0.004456,            0.004456,            0.004456
                  30,             0.05253,            0.029111,            0.014025,             0.65145,             0.45211,             0.43098,             0.16057,            0.054609,            0.029993,            0.019933,            0.004258,            0.004258,            0.004258
                  31,            0.052871,            0.027548,            0.015328,             0.68378,             0.38022,             0.42298,              0.1398,            0.055713,            0.029795,            0.019337,             0.00406,             0.00406,             0.00406
                  32,            0.051906,            0.028803,            0.013515,              0.7528,                0.41,             0.46255,             0.16068,            0.053368,            0.030029,            0.018922,            0.003862,            0.003862,            0.003862
                  33,            0.049859,            0.030191,            0.013333,             0.69108,             0.43443,             0.49072,              0.1615,            0.052354,            0.030195,            0.018677,            0.003664,            0.003664,            0.003664
                  34,            0.051111,            0.026963,            0.012525,             0.74187,             0.41708,             0.47891,             0.16191,            0.051989,            0.030444,            0.018741,            0.003466,            0.003466,            0.003466
                  35,            0.048391,            0.025891,            0.012749,             0.76589,             0.40484,             0.49012,             0.17096,            0.051426,             0.02996,            0.018495,            0.003268,            0.003268,            0.003268
                  36,            0.048715,            0.025504,            0.012621,             0.74536,             0.47974,             0.51664,             0.16218,            0.051848,            0.029981,            0.018739,             0.00307,             0.00307,             0.00307
                  37,            0.048791,            0.028432,            0.011806,             0.74779,             0.48455,             0.52078,             0.18381,            0.050214,            0.029784,            0.018724,            0.002872,            0.002872,            0.002872
                  38,             0.04682,            0.028635,            0.011831,             0.83769,             0.43931,             0.53921,             0.19001,            0.050457,            0.029584,            0.018296,            0.002674,            0.002674,            0.002674
                  39,            0.048158,            0.027037,            0.012533,             0.82288,             0.43692,             0.54406,             0.18284,            0.050824,            0.029533,            0.018086,            0.002476,            0.002476,            0.002476
                  40,             0.04672,             0.02665,            0.012482,             0.66966,              0.4854,             0.51617,             0.18832,            0.049502,            0.029515,            0.017877,            0.002278,            0.002278,            0.002278
                  41,             0.04642,            0.025561,            0.010964,             0.72917,             0.46304,             0.49576,             0.17411,            0.049482,            0.029595,            0.017588,             0.00208,             0.00208,             0.00208
                  42,            0.043631,            0.026004,             0.01185,             0.81437,             0.47652,             0.57052,             0.18725,            0.048235,            0.029565,            0.017276,            0.001882,            0.001882,            0.001882
                  43,            0.043912,            0.026291,             0.01116,             0.82416,              0.4917,             0.55284,             0.19065,            0.047892,            0.029518,             0.01704,            0.001684,            0.001684,            0.001684
                  44,            0.043024,            0.024701,            0.010636,             0.78414,             0.46881,             0.53559,              0.1904,            0.048627,            0.029548,            0.016791,            0.001486,            0.001486,            0.001486
                  45,            0.042564,            0.026167,            0.010045,             0.76962,             0.47977,             0.53475,             0.19846,            0.047259,            0.029621,             0.01659,            0.001288,            0.001288,            0.001288
                  46,            0.041932,            0.026726,           0.0099232,             0.76914,             0.44985,             0.50374,             0.19593,            0.047212,            0.029406,            0.016279,             0.00109,             0.00109,             0.00109
                  47,            0.040926,            0.023999,           0.0082731,             0.68471,             0.54546,             0.57282,             0.21457,            0.046874,            0.029406,            0.016177,            0.000892,            0.000892,            0.000892
                  48,            0.041758,            0.023999,           0.0090322,             0.65355,              0.5319,             0.55295,             0.21248,            0.046761,            0.029521,            0.016098,            0.000694,            0.000694,            0.000694
                  49,            0.040399,            0.024806,           0.0088757,             0.63834,             0.56799,             0.56132,             0.21647,            0.046543,            0.029447,             0.01601,            0.000496,            0.000496,            0.000496
